Startup,Location,Sector,Date,Amount (US$),Investors,Stage,Debt/Equity,Female co-founder/CEO?,Local founder?,Intnl founder?,Launched?,Accelerator?,Employees,Funding Year
FlexClub ,South Africa,fintech,March,"5,000,000.00","Kindred Ventures, Launch Africa Ventures, Matt Mullenweg, founder of WordPress; Federico Ranero, COO of KAVAK; Tariq Zaid, formerly of Shopify and Getaround; and Ron Pragides, formerly of Twitter and Salesforce.",Seed,Equity/Debt,No,Yes,Yes,2018,No,22,2021
ArifPay,Ethiopia,fintech,March,"3,500,000.00","Various investors (round one), Mobica and Gratus Holding (round two)",Undisclosed,Equity,No,Yes,No,2021,No,12,2021
Nomanini,South Africa,fintech,March,"1,500,000.00","Standard Bank, Goodwell Investments, FMO",Undisclosed,Equity,No,Yes,No,2010,No,31,2021
Kuda,Nigeria,fintech,March + August,"25,000,000.00","Valar Ventures, Target Global",Series A / B,Equity,No,Yes,No,2016,Yes,120,2021
Bankly,Nigeria,fintech,March,"2,000,000.00","Vault, Plug and Play Ventures, Rising Tide Africa and Chrysalis Capital",Seed,Equity,Yes,Yes,No,2018,Yes,23,2021
Plumter,Nigeria,fintech,March,"50,000.00",ARM,Undisclosed,Equity,No,Yes,No,2020,Yes,2,2021
Breeze,Nigeria,fintech,March,"50,000.00",ARM,Undisclosed,Equity,No,Yes,No,2020,Yes,4,2021
House Africa,Nigeria,fintech,March,"175,000.00","ARM, CV VC",Undisclosed,Equity,No,Yes,No,2018,Yes,7,2021
Curacel,Nigeria,fintech,March,"450,000.00","Atlantica Ventures, Consonance, Kepple Africa Ventures, angel investors",Pre-seed,Equity,No,Yes,No,2017,Yes,23,2021
Money254,Kenya,fintech,March,,Sherpa Ventures,Undisclosed,Equity,No,No,Yes,2020,No,9,2021
Paymob,Egypt,fintech,April,"15,000,000.00","Global Ventures, A15, FMO",Series A ,Equity,No,Yes,No,2015,No,163,2021
BezoMoney,Ghana,fintech,April,"200,000.00",GOODsoil VC,Seed,Equity,Yes,Yes,No,2019,Yes,4,2021
Numida,Uganda,fintech,April,"2,300,000.00","MFS Africa, DRK Foundation, Equilibria Capital, and Segal Family Foundation alongside angel investors",Seed,Equity,Yes,Yes,Yes,2017,No,21,2021
Troygold,South Africa,fintech,April,,Crossfin Ventures,Undisclosed,Equity,No,Yes,No,2018,No,8,2021
Revix,South Africa,fintech,April + July,"4,000,000.00",Founders Factory (July),Undisclosed,Equity,No,Yes,No,2018,Yes,16,2021
Peach Payments,South Africa,fintech,April,,"UW Ventures, Launch Africa Ventures",Undisclosed,Equity,No,No,Yes,2012,Yes,55,2021
AlphaDirect,Botswana,fintech,April,"600,000.00","Launch Africa Ventures, Century Oak Capital, angel investors",Pre-Series A,Equity,No,No,Yes,2015,No,4,2021
Okra,Nigeria,fintech,April,"3,500,000.00","Susa Ventures, Accenture Ventures, TLcom Capital, Rob Solomon, Arpan Shah, Hongxia Zhong",Seed,Equity,Yes,Yes,No,2020,No,37,2021
OKO Finance,Mali,fintech,April,"1,200,000.00","Newfund, ResiliAnce, Mercy Corps Ventures, Techstars, ImpactAssets and RaSa",Seed,Equity,No,No,Yes,2017,Yes,12,2021
Kashat,Egypt,fintech,April + September,"1,750,000.00","Cairo Angels (April), Launch Africa, Cairo Angels",Undisclosed,Equity,No,Yes,No,2020,No,22,2021
Expensya,Tunisia,fintech,April,"20,000,000.00","MAIF Avenir, Silicon Badia, ISAI and Seventure Partners",Undisclosed,Equity,No,Yes,No,2014,No,140,2021
Ensibuuko,Uganda,fintech,April,"1,000,000.00",FCA Investments,Seed,Equity,No,Yes,No,2014,Yes,36,2021
Keiwa,Ivory Coast,fintech,April,,I&P,Seed,Equity,No,Yes,No,2019,No,14,2021
Legafrik,Ivory Coast,fintech,April,,I&P,Seed,Equity,No,Yes,No,2017,No,15,2021
MoneyHash,Egypt,fintech,April,,"COTU Ventures, Ventures Platform, Kepple Africa Ventures, various angel investors.",Pre-seed,Equity,Yes,Yes,No,2020,No,5,2021
Bongalow,Nigeria,fintech,May,,"UNCOVERED FUND, Future Africa, Kepple Africa Ventures, ARM, Magic Fund, a bank CEO in Nigeria, and a host of other angel investors.",Seed,Equity,No,Yes,No,2019,Yes,6,2021
Lami,Kenya,fintech,May,"1,800,000.00","Accion Venture Lab, AAIC, Consonance, P1 Ventures, Acuity Ventures, The Continent Venture Partners, Future Africa",Seed,Equity,Yes,Yes,No,2018,Yes,16,2021
BFREE,Nigeria,fintech,May,,"Beta Ventures, Launch Africa Ventures and GreenHouse Capital.",Seed,Equity,No,Yes,Yes,2020,No,61,2021
Telda,Egypt,fintech,May,"5,000,000.00","Sequoia Capital, Global Founders Capital and Class 5 Global ",Pre-seed,Equity,No,Yes,No,2021,No,9,2021
Mono,Nigeria,fintech,May + October,"17,125,000.00","Entrée Capital, Babs Ogundeyi, Gbenga Oyebode, Eric Idiahi, Lateral Capital, Y Combinator, Rally Cap Ventures ($2.125m seed), Tiger Global, Target Global, General Catalyst, SBI Investment, and existing investors, Entrée Capital, Lateral Capital, Ingressive, GPIC, and Acuity ($15m Series A)",Seed / Series A,Equity,No,Yes,No,2020,Yes,13,2021
Zeepay,Ghana,fintech,June,"7,900,000.00","I&P, ARK Holdings, GOODsoil VC (equity), Absa Bank Ghana, First National Bank Ghana (debt)",Series A,Equity + debt,No,Yes,No,2014,No,34,2021
Aicare,Kenya,fintech,June,,"Mobility 54, CFAO Group",Seed,Equity,No,Yes,Yes,2020,No,7,2021
appsNmobile,Ghana,fintech,June,"1,000,000.00",Oasis Capital,Undisclosed,Equity,No,Yes,No,2015,No,20,2021
Julaya,Ivory Coast,fintech,June,"2,000,000.00","Orange Ventures, MFS Africa Frontiers, Saviu Ventures, Launch Africa Ventures, 50 Partners Capital, and business angels from Europe and Africa.",Pre-Series A,Equity,No,No,Yes,2018,No,21,2021
Motito,Ghana,fintech,June,"18,000.00",Startupbootcamp AfriTech,Undisclosed,Equity,No,Yes,No,2020,Yes,5,2021
Weza,Kenya,fintech,June,"18,000.00",Startupbootcamp AfriTech,Undisclosed,Equity,No,Yes,No,2016,Yes,1,2021
TeamApt,Nigeria,fintech,July,,"Novastar Ventures with participation from FMO, Global Ventures, CDC, Oui Capital, Kepple Africa Ventures, Soma Capital, and a syndicate of local angel investors including Gbenga Oyebode",Series B,Equity,No,Yes,No,2015,No,145,2021
FairMoney,Nigeria,fintech,July,"42,000,000.00","Tiger Global Management, DST Partners, Flourish Ventures, Newfund, and Speedinvest",Series B,Equity,No,No,Yes,2017,No,132,2021
Yalla Xash,Morocco,fintech,July,"675,000.00",Maroc Numeric Fund II,Undisclosed,Equity,No,Yes,No,2019,No,3,2021
Payhippo,Nigeria,fintech,July + November,"4,000,000.00","Ventures Platform, Future Africa, Launch Africa, DFS Lab, Sherpa Ventures, Hustle Fund, Mercy Corps Ventures and Y Combinator (July), Ham Serunjogi and Maijid Moujaled, co-founders Chipper Cash, Olugbenga ""GB"" Agboola, founder Flutterwave, Bolaji Balogun, CEO Chapel Hill Denham, and Hakeem Belo-Osagie, Founder Metis Capital Partners. Other angel investors include management from Paystack, Brex, and Tala and several LPs from Payhippo’s preseed investors. Institutional investors include TEN13, VentureSouq, and Prodigio Capital (November)",Pre-seed / Seed,Equity,Yes,Yes,Yes,2020,Yes,6,2021
Amenli,Egypt,fintech,July + September,"2,425,000.00","Y Combinator (July), P1 Ventures, GFC, and Anim Fund (Founders Fund scout fund), with Costanoa VC, Liquid2 Ventures, Cliff Angels and other angel investors (September)",Seed,Equity,No,Yes,Yes,2020,Yes,23,2021
Floatpays,South Africa,fintech,July,"125,000.00","Y Combinator, Kepple Africa Ventures",Seed,Equity,No,Yes,No,2019,Yes,6,2021
Asaak,Uganda,fintech,July,"300,000.00","Founders Factory Africa, crowdfunding campaign",Pre-Series A,Equity,No,No,Yes,2016,Yes,30,2021
Smile Identity,Nigeria,fintech,July,"7,000,000.00","Costanoa Ventures, CRE Venture Capital, LocalGlobe, Intercept Ventures, Future Africa, Khosla Impact, ValueStream Ventures, Beta Ventures, 500 Startups, Story Ventures and angel investors",Series A,Equity,No,No,Yes,2016,No,36,2021
Lidya,Nigeria,fintech,July,"8,300,000.00","Alitheia Capital, Bamboo Capital Partners, Accion Venture Lab and Flourish Ventures.",Pre-Series B,Equity,No,Yes,No,2016,No,73,2021
GetEquity,Nigeria,fintech,July,"200,000.00","GreenHouse Capital, Microtraction",Pre-seed,Equity,No,Yes,No,2021,No,5,2021
InTouch,Senegal,fintech,July,,"CFAO, Mobility54, Total Energies, Worldline",Undisclosed,Equity,No,Yes,No,2014,No,255,2021
Konta,Morocco,fintech,July,"223,000.00",Witamax One,Undisclosed,Equity,No,Yes,No,2019,No,4,2021
Akiba Digital,South Africa,fintech,July,"1,100,000.00","Expert DOJO, Oui Capital, Basecamp fund, DFS Lab, Soma Capital, Hustle Fund, Future Africa, LoftyInc, a former PayPal executive, and a few angels 
",Pre-seed,Equity,Yes,Yes,No,2017,Yes,14,2021
Chaka,Nigeria,fintech,July,"1,500,000.00","Breyer Capital, 4DX Ventures, Golden Palm Investments, Future Africa, Seedstars, and Musha Ventures.",Pre-seed,Equity,No,Yes,No,2019,No,49,2021
Ctrl,South Africa,fintech,July,"2,335,000.00",Naspers Foundry,Series B,Equity,No,Yes,No,2017,Yes,14,2021
Yoco,South Africa,fintech,July,"83,000,000.00","Dragoneer Investment Group, Breyer Capital, HOF Capital, The Raba Partnership, 4DX Ventures, TO Ventures, Partech, Velocity Capital Fintech Ventures, Orange Ventures and Quona Capital, as well as current and former executives from global tech leaders such as Coinbase, Revolut, Spotify and Gojek.",Series C,Equity,No,Yes,No,2013,No,233,2021
Pineapple,South Africa,fintech,July,,"Lireas Holdings, the ASISA ESD Fund, E4E, Vunani Capital and the Old Mutual Enterprise & Supplier Development Fund",Series A,Equity,No,Yes,No,2018,Yes,20,2021
CreditFins,Egypt,fintech,July,,"Flat6Labs, AUC Angels, TA Telecom Holding",Pre-seed,Equity,No,Yes,No,2020,Yes,5,2021
Jumuisha,Kenya,fintech,July,,SprintX Venture Studio,Seed,Equity,Yes,Yes,No,2020,Yes,4,2021
Awabah,Nigeria,fintech,July + August ,"320,000.00","ODBA and Co Ventures and Correlation Capital (July), Techstars (August)",Undisclosed,Equity,Yes,Yes,No,2020,Yes,7,2021
WapiPay,Kenya,fintech,August,"2,200,000.00","EchoVC, MSA Capital, Kepple Africa Ventures",Pre-seed,Non-Equity,No,Yes,No,2019,No,6,2021
Naked Insurance,South Africa,fintech,August,"11,000,000.00","Naspers, Yellowwoods, Hollard",Series A,Equity,No,Yes,No,2018,No,39,2021
Moove,Nigeria,fintech,August,"63,200,000.00","Speedinvest, Left Lane Capital, DCM, Clocktower Technology Ventures, thelatest.ventures, LocalGlobe, Tekton, FJ Labs, Palm Drive Capital, Roka Works, KAAF Investments, Class 5 Global, Victoria van Lennep, Kepple Africa Ventures, Emso Asset Management, IFC",Series A,Equity/debt,No,No,Yes,2019,No,83,2021
Pngme,Nigeria,fintech,August,"15,000,000.00","Octopus Ventures, Lateral Capital, EchoVC, Raptor Group, Two Small Fish Ventures, Unshackled Ventures, Future Africa, Aruwa Capital, The51, and angel investors including Hayden Simmons of Rally Cap Ventures, Plaid’s Dan Kahn, Richard Talbot, ex-COO of RBC Capital Markets and Kyle Ellicott of Intersect VC.",Series A,Equity,No,No,Yes,2018,No,29,2021
MyInvest,Nigeria,fintech,August,"10,000.00",GreenHouse Capital,Undisclosed,Equity,No,Yes,No,2011,Yes,3,2021
Collect Africa,Nigeria,fintech,August,"10,000.00",GreenHouse Capital,Undisclosed,Equity,No,Yes,No,2021,Yes,1,2021
Payhive,Nigeria,fintech,August,"10,000.00",GreenHouse Capital,Undisclosed,Equity,No,Yes,No,2019,Yes,1,2021
Scalex,Nigeria,fintech,August,"10,000.00",GreenHouse Capital,Undisclosed,Equity,No,Yes,No,2021,Yes,1,2021
Dojah,Nigeria,fintech,August,"10,000.00",GreenHouse Capital,Undisclosed,Equity,No,Yes,No,2020,Yes,9,2021
Chumz,Kenya,fintech,August,"10,000.00",GreenHouse Capital,Undisclosed,Equity,Yes,Yes,No,2019,Yes,6,2021
Route,Kenya,fintech,August,"10,000.00",GreenHouse Capital,Undisclosed,Equity,No,Yes,No,2019,Yes,2,2021
Lacaisse,Morocco,fintech,September,,WitaMax,Undisclosed,Equity,No,Yes,No,2016,No,10,2021
Pezesha,Kenya,fintech,September,,"GreenHouse Capital, Venture Garden Group",Seed,Equity + debt,Yes,Yes,No,2016,No,21,2021
MNT-Halan,Egypt,fintech,September,"120,000,000.00","Apis Growth Fund II, Development Partners International (DPI), Lorax Capital Partners,  Middle East Venture Partners, Endeavor Catalyst, and Disruptech",Undisclosed,Equity,No,Yes,No,2018,No,246,2021
Prospa,Nigeria,fintech,September,"3,800,000.00","Y Combinator, Global Founders Capital, Liquid 2 Ventures, Immad Akhund, Karim Atiyeh, Ankur Nagpal, Todd Goldberg, Rahul Vohra’s angel investment fund, and executives from Square, Facebook and Nubank",Pre-seed,Equity,Yes,Yes,No,2019,Yes,7,2021
Finclusion Group,South Africa,fintech,September,"20,000,000.00",Lendable,Undisclosed,Debt,No,Yes,No,2019,No,42,2021
HelloHR,South Africa,fintech,September,,"Finclusion Group, Musha Ventures",Undisclosed,Equity,No,Yes,No,2019,No,3,2021
Yellow Card,Nigeria,fintech,September,"15,000,000.00","Valar Ventures, Third Prime, and Castle Island Ventures, Square, Inc., Blockchain.com Ventures, Coinbase Ventures, Polychain Capital, BlockFi, Fabric Ventures, Raba Partnership, MoonPay, GreenHouse Capital, and more",Series A,Equity,No,No,Yes,2018,No,110,2021
Sun Exchange,South Africa,fintech,September,"2,500,000.00",ARCH Emerging Markets Partners,Undisclosed,Equity,No,No,Yes,2015,Yes,39,2021
Cadana,Ghana,fintech,September,,500 Global,Pre-seed,Equity,No,Yes,No,2021,Yes,14,2021
Fin-e,Uganda,fintech,September,"300,000.00",,Pre-seed,Equity,No,Yes,No,2020,No,1,2021
Verto,Nigeria,fintech,October,"10,000,000.00","Quona Capital, The Treasury, Middle East Venture Partners (MEVP), TMT Investments, Unicorn Growth Capital, Zrosk Investments and P1 Ventures",Series A,Equity,No,Yes,No,2018,No,29,2021
Bitmama,Nigeria,fintech,October,"350,000.00","Flori Ventures, with participation from Emergence Capital, Fedha Capital, and a host of VCs and angel investors",Pre-seed,Equity,Yes,Yes,No,2019,Yes,125,2021
Sparkle,Nigeria,fintech,October,"3,100,000.00","Leadway Assurance, Trium Networks and a number of Nigerian HNIs",Seed,Equity,No,Yes,No,2020,No,29,2021
Lenco,Nigeria,fintech,October,"120,000.00",Techstars,Undisclosed,Equity,No,Yes,No,2021,Yes,9,2021
PayDay,Rwanda,fintech,October,"120,000.00","Techstars, LofyInc, Microtraction, Magic Fund, Ventures Platform, Voltron Capital, CcHub Syndicate, Rally Cap Ventures, Acuity Ventures, Helicarrier Inc, Greencap Equity, Midlothian Angel Network, Emergence Capital, Olugbenga Agboola (GB), Charles Odita, Eke Eleanya, Adegoke Olubusi, Edmund Olotu (Bloc), Prosper Otemuyiwa (Eden), Dimeji Sofowora, Perseus Mlambo (Union54), Abdul Hassan (Mono), Onyekachukwu Somtochukwu Eyisi, and a host of other investors.",Pre-seed,Equity,No,Yes,No,2021,Yes,15,2021
Asante Financial Services,Kenya,fintech,October,"7,500,000.00","Goodwell Investments, Sorenson Impact Foundation and Forsage Holdings",Series A,Equity,No,No,Yes,2018,No,24,2021
Brass,Nigeria,fintech,October,"1,700,000.00","Hustle Fund, Acuity Ventures, Uncovered Fund, Ventures Platform, Olugbenga ‘GB’ Agboola, Ezra Olubi",Seed,Equity,No,Yes,No,2020,No,25,2021
Lemonade Finance,Nigeria,fintech,October,"725,000.00","Y Combinator, Microtraction, Ventures Platform, Acuity Venture Partners, several individual investors.",Pre-seed,Equity,No,Yes,Yes,2020,Yes,10,2021
Union54,Zambia,fintech,October,"3,000,000.00","Tiger Global, Runa Capital, Ace & Company, Suya Fund, Todd & Rahul Angel Fund and Vibe VC, Babs Ogundeyi, the CEO of Nigerian neobank Kuda; Risana Zitha, managing director of Renaissance Capital; and Gbenga Ajayi, former director of SMB Growth at Wise, Y Combinator, DFS Lab",Seed,Equity,Yes,Yes,No,2021,Yes,8,2021
Indicina,Nigeria,fintech,October,"3,800,000.00","Target Global, Greycroft Partners, RV Ventures, Angel investors",Undisclosed ,Equity,Yes,Yes,No,2018,Yes,32,2021
Kappa Pay,Cameroon,fintech,October,"2,100,000.00","Morningside, Lake Partners",Pre-seed,Equity,Yes,Yes,No,2021,No,4,2021
Inyad,Morocco,fintech,October,"8,000,000.00","Partech Africa, CDG, LocalGlobe, FJ Labs, VentureSouq, Angel investors",Undisclosed ,Equity,No,Yes,No,2021,No,17,2021
Africa Blockchain Center,Kenya,fintech,October,,Next Chymia Consulting,Undisclosed ,Equity,Yes,Yes,No,2021,No,2,2021
Ejara,Cameroon,fintech,October,"2,000,000.00","CoinShares Ventures and Anthemis Group led the round. They are joined by Mercy Corps Ventures, Lateral Capital, LoftyInc Capital and NetX Fund. Two angel investors — Pascal Gauthier of Ledger and Jason Yanowitz of Blockworks",Undisclosed,Equity,Yes,Yes,No,2020,No,21,2021
CrowdForce,Nigeria,fintech,October,"2,500,000.00","HAVAIC, Aruwa Capital",Pre-Series A,Equity,No,Yes,No,2017,Yes,54,2021
Alvin,Kenya,fintech,October,"740,000.00","Ingressive Capital, Shola Akinlade, Tony Nicalo, Zephyr Acorn, Voltron Capital, Future Africa, partners of UAE-based Tahseen Consulting, Forum Ventures, Kenyan and American angel investors",Pre-seed,Equity,No,Yes,No,2021,Yes,4,2021
Ayoken,Nigeria,fintech,October,,Founders Factory Africa,Pre-seed,Equity,No,Yes,No,2021,Yes,6,2021
FinMeUp,South Africa,fintech,November,,ZAQ Ventures,Seed,Equity,No,Yes,No,2020,No,2,2021
Root,South Africa,fintech,November,"3,000,000.00","Invenfin, Base Capital, Savannah Fund, P1 Ventures, Luno, and FireID, as well as a select group of high impact angel investors",Seed,Equity,Yes,Yes,No,2016,No,32,2021
Aboki Africa,Nigeria,fintech,November,,"Abdul Hassan, CEO of fellow Nigerian fintech Mono; Niche Capital, Ingressive Capital, Decimal Point Ventures and other strategic investors",Pre-seed,Equity,No,Yes,No,2020,No,9,2021
KIWE,Egypt,fintech,November,,"dfin Holding, EFG Hermes, Marakez for Development, and a group of angel investors",Undisclosed ,Equity,Yes,Yes,No,2021,Yes,15,2021
PesaChoice,Rwanda,fintech,November,,Norrsken Foundation,Undisclosed ,Equity,No,Yes,No,2014,No,16,2021
Kippa,Nigeria,fintech,November,"3,200,000.00","Target Global, Entrée Capital, Alter Global, Rally Cap Ventures, Musha Ventures, Suya Fund, Sriram Krishnan (investor in Khatabook), Raffael Johnen (CEO, Auxmoney), Babs Ogundeyi (CEO, Kuda), Chris Bouwer (board member, Cellulant), Kyane Kassiri, Edward Suh (Goodwater Capital), and Sajid Rahman.",Pre-seed,Equity,No,Yes,No,2021,No,24,2021
Busha,Nigeria,fintech,November,"4,200,000.00","Jump Capital, Cadenza Ventures, Blockwall Capital, CMT Digital, Greenhouse Capital, Raba Capital, Kepple Africa Ventures,, and other investors.",Seed,Equity,No,Yes,No,2019,No,28,2021
Asilimia,Kenya,fintech,November,"2,000,000.00","Fredrik Jung Abbou, Norrsken Impact Accelerator, prominent founders from across Europe, Bpifrance and GreenTec Capital Partners",Pre-seed,Equity/debt,Yes,Yes,Yes,2017,Yes,7,2021
Hollydesk,Egypt,fintech,November,"325,000.00",Faisal Abdel Salam and other investors,Pre-seed,Equity,No,Yes,No,2021,Yes,5,2021
OnePipe,Nigeria,fintech,November,"3,500,000.00","Atlantica Ventures, Tribe Capital and V&R Associates. The round also includes Canaan Partners, Saison Capital, Norrsken, The Fund, Two Culture Cap, Chris Adelsbach, Techstars, Ingressive Capital, Acquity, P1, Raba and DFS Lab.",Seed,Equity,No,Yes,No,2019,No,27,2021
Octamile,Nigeria,fintech,November,"500,000.00","EchoVC Partners, with participation from Fiat Ventures, Kesho VC, Trade X, Verraki Partners, Dale Mathias, Kyle Daley, and other local and international angels. ",Pre-seed,Equity,No,Yes,No,2021,No,1,2021
Raseedi,Egypt,fintech,November,"850,000.00","Samurai Incubate, a European investor, 500 Startups, EFG-EV and Falak Startups",Pre-Series A,Equity,No,Yes,No,2018,Yes,127,2021
Casava,Nigeria,fintech,November,"2,100,000.00",,Undisclosed,Equity,Yes,Yes,Yes,2019,No,13,2021
NFTfi,South Africa,fintech,November,"5,000,000.00","1kx led the round, with Ashton Kutcher’s Sound Ventures, Maven 11, Scalar Capital, Kleiner Perkins and others participating. ",Seed,Equity,No,Yes,No,2020,No,14,2021
CompariSure,South Africa,fintech,November,"944,000.00","HAVAIC, others",Pre-Series A,Equity,No,Yes,No,2017,No,13,2021
Baloon,Ivory Coast,fintech,December,"2,300,000.00",Acuity Ventures,"Series A, P1 Ventures, Angel investors",Equity,No,No,Yes,2017,No,64,2021
Flex Finance,Nigeria,fintech,December,,"Sahil Lavingia, LoftyInc Capital Management, Berrywood Capital, Paradox Capital, Kairos Angels, Brett Kopf, Julian Shapiro, Maneesh Arora and others",Pre-seed,Equity,No,Yes,No,2019,Yes,15,2021
Kwara,Kenya,fintech,December,"4,000,000.00","Breega, and also includes SoftBank Vision Fund Emerge, Finca Ventures, New General Market Partners, Globivest, Do Good Invest, Rabacap, Launch Africa, Norrsken Impact Accelerator, Future Africa, Samurai Incubate and DOB Equity, as well as several fintech executives, including founders of Meltwater, The Flex Company and ComplyAdvantage, and executives from Salesforce and PayPal",Seed,Equity,Yes,Yes,No,2018,Yes,49,2021
CinetPay,Ivory Coast,fintech,December,"2,400,000.00","4DX Ventures, Flutterwave",Seed,Equity,No,Yes,No,2016,No,59,2021
Entersekt,South Africa,fintech,December,,Accel-KKR,Strategic,Equity,No,Yes,No,2008,Yes,178,2021
Sympl,Egypt,fintech,December,"6,000,000.00","BECO Capital, A15, Global Ventures",Seed,Equity,Yes,Yes,No,2021,No,9,2021
African Blockchain Lab,Nigeria,fintech,December,"6,000,000.00","Lateral Frontiers VC, CRE Venture Capital and Musha Ventures, as well as international blockchain investors Dragonfly Capital, Hashkey Capital, SNZ Capital, Fenbushi, Cadenza Capital, Head & Shoulder X, LeadBlock, Hash Global, Bonfire, Krypital, Despace and more",Pre-Series A,Equity,No,No,Yes,2021,No,12,2021
KlickIt,Egypt,fintech,December,,EFG Finance and Camel Ventures,Undisclosed,Equity,No,Yes,No,2017,No,7,2021
Planet42,South Africa,fintech,December,"30,000,000.00","Naspers, Lendable, Change Ventures and Startup Wise Guys, alongside unicorn founders like Martin and Markus Villig (Bolt) and Ragnar Sass (Pipedrive)",Undisclosed,Equity/debt,No,No,Yes,2017,No,44,2021
Nomad Bank,Nigeria,fintech,December,,Founders Factory Africa,Pre-seed,Equity,No,Yes,No,2021,Yes,7,2021
Payourse,Nigeria,fintech,December,"600,000.00","Flori Ventures, Voltron Capital, Allegory Capital, Angel Investors",Pre-seed,Equity,No,Yes,No,2019,No,5,2021
Herconomy,Nigeria,fintech,December,"600,000.00","Oui Capital, Angel Investors",Pre-seed,Equity,Yes,Yes,No,2019,No,10,2021
Paylend,Kenya,fintech,December,"2,000,000.00",Next Chymia Consulting HK Limited,Seed,Equity,No,Yes,No,2019,Yes,3,2021
IMFact,Kenya,fintech,December,"3,900,000.00",FSD Africa,Seed,Equity,No,Yes,Yes,2020,No,8,2021
Djamo,Ivory Coast,fintech,,"125,000.00",Y Combinator,Pre-seed,Equity,No,Yes,No,2020,Yes,20,2021
Dayra,Egypt,fintech,,"3,000,000.00","Tanmiya Capital Ventures, EFG EV, EFG Hermes, Y Combinator, and different angel investors",Pre-seed,Equity/Debt,No,Yes,No,2020,Yes,1,2021
NowPay,Egypt,fintech,,,"Y Combinator, Global Ventures, Beco Capital, Endure Capital, Foundation Ventures, Kepple Africa Ventures, and Abderahman ElSewedy",Pre-Series A,Equity,No,Yes,No,2019,Yes,24,2021
Blueloop,Nigeria,fintech,,"125,000.00",Y Combinator,Pre-seed,Equity,No,Yes,Yes,2019,Yes,3,2021
Wayja,South Africa,fintech,,,,Undisclosed,Equity,No,Yes,No,2020,No,2,2021
